Strategy Name,Number of Trades,Average Profit %,Total Profit %,Net Profit USDT,Net Profit %,Average Duration,Win/Draw/Loss Win%,Drawdown
ONUR,318,3.15,1000.50,47866.299,478.66,672.383 hours,313     0     5  98.4,63111.812 USDT  52.17%
ObeliskIM_v1_1,0,0.00,0.00,0,0.00,0 hours,0     0     0     0,0 USDT  0.00%
Obelisk_TradePro_Ichi_v1_1,144,1.63,235.07,3584.799,35.85,72.8333 hours,8     0   136   5.6,2805.954 USDT  18.44%
Obelisk_TradePro_Ichi_v2_1,521,-0.26,-134.90,-2844.757,-28.45,24 hours,335     0   186  64.3,4687.479 USDT  45.46%
PRICEFOLLOWING2,3,2.35,7.04,140.021,1.40,24 hours,3     0     0   100,0 USDT  0.00%
PRICEFOLLOWINGX,12,1.03,12.38,248.095,2.48,24 hours,12     0     0   100,0 USDT  0.00%
PRICEFOLLOWING,0,0.00,0.00,0,0.00,0 hours,0     0     0     0,0 USDT  0.00%
PatternRecognition,471,1.54,725.92,12573.266,125.73,288.217 hours,356    36    79  75.6,25018.662 USDT  71.98%
Persia,1355,-1.08,-1464.94,-9569.429,-95.69,48.9 hours,289   924   142  21.3,10030.496 USDT  95.88%
PowerTower,1034,-0.80,-827.61,-8537.211,-85.37,72.1667 hours,209   753    72  20.2,8999.312 USDT  86.02%
PrawnstarOBV,2401,1.22,2932.46,1106875.404,11068.75,48.9833 hours,1863     1   537  77.6,295987.253 USDT  63.16%
PumpDetector,129,1.12,144.44,-1126.143,-11.26,744.95 hours,81     0    48  62.8,8578.557 USDT  61.27%
Quickie,264,-0.47,-124.58,-2635.916,-26.36,96.45 hours,244     0    20  92.4,4831.358 USDT  42.20%
RSIBB02,16,4.10,65.61,1360.794,13.61,24.5 hours,7     9     0   100,0 USDT  0.00%
RalliV1,1150,0.07,76.18,-126.792,-1.27,15.75 hours,454   447   249  39.5,4836.662 USDT  37.80%
RalliV1_disable56,1128,0.07,83.16,227.899,2.28,15.7833 hours,444   440   244  39.4,5086.925 USDT  37.88%
ReinforcedAverageStrategy,93,2.39,222.68,2900.374,29.00,336.283 hours,31     0    62  33.3,10518.915 USDT  46.61%
ReinforcedQuickie,1,-5.11,-5.11,-101.314,-1.01,0 hours,0     0     1     0,0 USDT  0.00%
ReinforcedSmoothScalp,3,2.00,5.99,119.260,1.19,24 hours,3     0     0   100,0 USDT  0.00%
Renko,35,90.86,3180.22,166588.073,1665.88,5904.08 hours,30     0     5  85.7,165062.498 USDT  48.31%
RobotradingBody,285,1.74,497.19,15142.983,151.43,24.5833 hours,196     0    89  68.8,4035.951 USDT  15.65%
Roth01,89,0.13,11.39,58.080,0.58,24.4667 hours,26    57     6  29.2,1294.868 USDT  11.78%
Roth03,0,0.00,0.00,0,0.00,0 hours,0     0     0     0,0 USDT  0.00%
SMAIP3,160,-2.45,-392.74,-5771.368,-57.71,96.7 hours,30   114    16  18.8,5826.996 USDT  57.95%
SMAIP3v2,147,-0.26,-38.76,-960.310,-9.60,48.6333 hours,124     0    23  84.4,1657.822 USDT  16.41%
SMAOG,437,-0.88,-386.39,-6138.437,-61.38,48.2167 hours,377     0    60  86.3,10273.27 USDT  76.14%
SMAOPv1_TTF,217,0.46,99.73,-2833.406,-28.33,456.667 hours,148     0    69  68.2,15282.063 USDT  76.63%
SMAOffsetProtectOptV0,406,-1.45,-589.95,-8206.007,-82.06,192.45 hours,329     0    77  81.0,8763.071 USDT  84.99%
SMAOffsetProtectOptV1HO1,918,-0.79,-726.15,-8803.478,-88.03,72.0167 hours,264   533   121  28.8,8941.475 USDT  88.66%
SMAOffsetProtectOptV1Mod2,816,-0.61,-494.98,-7614.158,-76.14,72.8833 hours,742     0    74  90.9,8250.61 USDT  79.67%
SMAOffsetProtectOptV1Mod,816,-0.61,-494.98,-7614.158,-76.14,72.8833 hours,742     0    74  90.9,8250.61 USDT  79.67%
SMAOffsetProtectOptV1,316,-1.04,-329.76,-6739.880,-67.40,264.183 hours,257     0    59  81.3,10086.127 USDT  78.98%
SMAOffsetProtectOptV1_kkeue_20210619,816,-0.61,-494.98,-7614.158,-76.14,72.8833 hours,742     0    74  90.9,8250.61 USDT  79.67%
SMAOffsetProtectOpt,694,-1.27,-879.28,-9069.525,-90.70,96.95 hours,150   499    45  21.6,9101.85 USDT  90.73%
SMAOffset,273,0.64,175.25,-2628.615,-26.29,432.4 hours,185     0    88  67.8,15167.532 USDT  73.53%
SMA_BBRSI,1881,-0.18,-333.72,-5334.139,-53.34,10.5833 hours,1225     0   656  65.1,6341.188 USDT  58.05%
SRsi,787,-0.72,-566.41,-6968.823,-69.69,24.0333 hours,694     0    93  88.2,7700.359 USDT  74.28%
STRATEGY_RSI_BB_BOUNDS_CROSS,7,-0.43,-3.03,-62.922,-0.63,13.7167 hours,5     0     2  71.4,75.127 USDT  0.76%
STRATEGY_RSI_BB_CROSS,75,-1.80,-135.28,-2417.030,-24.17,24.6833 hours,52     0    23  69.3,2428.473 USDT  24.68%
SampleStrategy,81,0.57,45.89,915.576,9.16,48.4833 hours,70     0    11  86.4,873.126 USDT  7.82%
Saturn5,141,-0.79,-110.97,-2443.800,-24.44,192.083 hours,108     0    33  76.6,3759.849 USDT  34.56%
Scalp,106,-1.55,-164.28,-2793.269,-27.93,5.43333 hours,53     0    53  50.0,2915.92 USDT  29.04%
Seb,112,0.19,20.76,355.541,3.56,24.15 hours,93     0    19  83.0,759.118 USDT  7.27%
Simple,975,-0.05,-46.22,-2172.650,-21.73,24.1833 hours,936     0    39  96.0,8038.542 USDT  56.17%
Slowbro,22,56.40,1240.73,29599.419,295.99,8928.63 hours,17     0     5  77.3,36889.577 USDT  48.23%
SmoothOperator,71,-1.33,-94.13,-1762.114,-17.62,120.733 hours,18     0    53  25.4,2531.761 USDT  24.85%
SmoothScalp,19,0.57,10.76,214.332,2.14,20.2167 hours,18     0     1  94.7,147.807 USDT  1.43%
Stavix2,1,-10.16,-10.16,-201.362,-2.01,0 hours,0     0     1     0,0 USDT  0.00%
StochRSITEMA,11,-1.67,-18.41,-359.072,-3.59,2.18333 hours,0     1    10     0,348.906 USDT  3.49%
Strategy001,112,0.19,20.76,355.541,3.56,24.15 hours,93     0    19  83.0,759.118 USDT  7.27%
Strategy001_custom_exit,112,0.23,25.82,459.266,4.59,24.7167 hours,93     0    19  83.0,714.907 USDT  6.82%
Strategy001_custom_sell,112,0.23,25.82,459.266,4.59,24.7167 hours,93     0    19  83.0,714.907 USDT  6.82%
Strategy002,2,-4.58,-9.16,-181.877,-1.82,24 hours,1     0     1  50.0,201.677 USDT  2.01%
Strategy003,1,5.00,5.00,98.998,0.99,0 hours,1     0     0   100,0 USDT  0.00%
Strategy004,21,-1.29,-27.15,-541.008,-5.41,18.2833 hours,14     0     7  66.7,505.6 USDT  5.10%
Strategy005,5,1.82,9.08,177.684,1.78,4.8 hours,4     0     1  80.0,209.562 USDT  2.02%
StrategyScalpingFast2,298,-1.08,-321.94,-5227.215,-52.27,48.9333 hours,67   211    20  22.5,5779.54 USDT  56.72%
StrategyScalpingFast,19,1.00,18.98,382.907,3.83,24.5333 hours,19     0     0   100,0 USDT  0.00%
SuperHV27,133,0.08,11.07,-189.006,-1.89,48.8167 hours,43    83     7  32.3,2662.707 USDT  23.21%
SuperTrendPure,278,-0.11,-29.39,-965.134,-9.65,48.9333 hours,141   100    37  50.7,5762.785 USDT  40.08%
SupertrendStrategy,87,51.05,4441.77,431451.437,4314.51,1320.1 hours,39     0    48  44.8,185006.609 USDT  48.04%
Supertrend,1202,0.54,650.35,15389.026,153.89,72.35 hours,670   426   106  55.7,34176.824 USDT  68.95%
SwingHighToSky,146,-1.91,-278.15,-4721.316,-47.21,72.2167 hours,39    93    14  26.7,6182.065 USDT  54.76%
SwingHigh,34,-3.12,-105.92,-1952.184,-19.52,48.2333 hours,5    24     5  14.7,1954.387 USDT  19.54%
TDSequentialStrategy,252,2.13,536.87,11015.641,110.16,192.433 hours,50     0   202  19.8,9464.606 USDT  44.55%
TEMA,1344,-0.62,-826.79,-8366.018,-83.66,24.25 hours,1036     0   308  77.1,8447.954 USDT  84.31%
TechnicalExampleStrategy,2379,-1.29,-3064.43,-9978.600,-99.79,4.1 hours,1492     0   887  62.7,10097.985 USDT  99.79%
TemaMaster3,36,1.90,68.49,917.751,9.18,216.667 hours,13     0    23  36.1,1988.729 USDT  18.32%
TemaMaster,70,-0.67,-46.76,-993.623,-9.94,96.15 hours,38    19    13  54.3,1648.488 USDT  15.68%
TemaPureNeat,44,-2.11,-92.99,-1721.525,-17.22,72.1833 hours,18    11    15  40.9,1904.345 USDT  18.70%
TemaPureTwo,89,-0.77,-68.10,-1319.860,-13.20,72.7 hours,70     0    19  78.7,2725.932 USDT  24.16%
TemaPure,71,-0.97,-69.02,-1302.187,-13.02,24.8667 hours,13    47    11  18.3,1434.372 USDT  14.16%
TheForce,1458,-0.72,-1055.99,-8774.545,-87.75,1.25 hours,490     0   968  33.6,8749.606 USDT  87.79%
TheRealPullbackV2,17,3.98,67.67,1247.154,12.47,168 hours,4     0    13  23.5,592.777 USDT  5.01%
TrailingBuyStrat2,622,0.10,59.66,86.683,0.87,24.3167 hours,201     0   421  32.3,8449.408 USDT  47.96%
Trend_Strength_Directional,2068,-0.77,-1598.74,-9790.402,-97.90,72.7167 hours,456  1495   117  22.1,12017.899 USDT  98.81%
TrixStrategy,312,7.10,2216.51,166890.771,1668.91,432 hours,142     0   170  45.5,343258.192 USDT  74.45%
TrixV15Strategy,48,-0.38,-18.45,-406.092,-4.06,48 hours,11    35     2  22.9,957.945 USDT  9.53%
TrixV21Strategy,21,-0.46,-9.63,-225.890,-2.26,72.85 hours,19     0     2  90.5,521.511 USDT  5.18%
UltimateMomentumIndicator,24,227.79,5466.93,101121.623,1011.22,7512 hours,13     0    11  54.2,44944.476 USDT  41.41%
UniversalMACD,196,-0.61,-120.13,-2217.296,-22.17,72.7167 hours,36   154     6  18.4,2742.544 USDT  26.72%
Uptrend,2353,-0.02,-46.40,-2393.622,-23.94,13.9833 hours,1285     0  1068  54.6,5578.365 USDT  49.17%
UziChan2,99,-0.29,-28.83,-682.159,-6.82,48.4 hours,65     0    34  65.7,2072.603 USDT  19.03%
UziChan,97,0.35,34.32,488.672,4.89,96.7 hours,56     0    41  57.7,1786.245 USDT  15.95%
